name,type,status,approximate_start_date,users,url,notes
Marketplace Initiative,strategic,ongoing,2025-01,"118406,",https://www.drupal.org/about/starshot/blog/marketplace-call-for-input-and-volunteers,Enhances the visibility and discoverability of Drupal services and providers.
Project Browser,strategic,ongoing,2023-01,"74392,1746792",https://www.drupal.org/about/starshot/initiatives/project-browser,Allows users to find and install contributed modules directly from the admin interface.
Recipes,strategic,ongoing,2024-01,"157725,2507260,54034,205645",https://www.drupal.org/about/starshot/initiatives/recipes,Provides pre-configured sets of functionality to help build Drupal sites faster.
AI Initiative,strategic,ongoing,2025-01,"626050,72810,8389,199987,1390422,135619,721548,1",https://dri.es/accelerating-ai-innovation-in-drupal,"Integrates AI-powered tools to assist site builders, developers, and content editors."
Admin UI and JavaScript Modernisation,strategic,done,2017-01,24967,https://www.drupal.org/about/strategic-initiatives/admin-ui-js,Rebuilds the admin interface using modern JavaScript frameworks and UX principles.
Media,strategic,done,2015-01,"545912,205645",https://www.drupal.org/about/strategic-initiatives/media,"Makes media management (images, videos, files) more powerful and user-friendly in core."
API-first,strategic,done,2019-01,"99777,240860,99340,550110,2287430,761344",https://www.drupal.org/about/strategic-initiatives/api-first,Ensures Drupal can serve as a robust backend for decoupled applications via modern APIs
Decoupled menus,strategic,done,2020-01,"598310,2304500,1390422,1078742,395439,550110,41502,161058,73545,3130661,751698,157725,3366066,2287430",https://www.drupal.org/about/core/strategic-initiatives/decoupled-menus,Emerged from discussions around decoupled admin interfaces. Led by Gabe Sullice and others.
Drupal 8 accelerate fund,strategic,done,2015-01,"1,24967,35733,157725,65776,78040",https://www.drupal.org/governance/d8accelerate,Created to speed up Drupal 8’s release by funding contributors.
Drupal 9,strategic,done,2018-01,4166,https://www.drupal.org/project/drupal/issues/3007300,Official initiative began after D8.6 release planning for D9 started around then. Released in Jun 2020.
Drupal 10,strategic,done,2021-01,"4166,65776,35733",https://www.drupal.org/about/core/strategic-initiatives/drupal10,"Initiative launched post-D9.3, with a focus on modernizing core (Symfony 6, CKEditor 5, etc.). Released Dec 2022."
Configuration management,strategic,done,2011-01,128537,https://www.drupal.org/node/2107085#cmi,Began during early Drupal 8 development. Major feature of D8.
Easy Out-of-the-box,strategic,done,2021-01,4166,https://www.drupal.org/project/ideas/issues/3191533,"Announced as a formal initiative to improve the beginner experience (combines Claro, Olivero, Media)."
Extended security coverage,strategic,done,2022-01,191965,https://www.drupal.org/project/drupal/issues/2909665,Proposed and discussed post-D9 EOL planning.
HTML5,strategic,done,2010-01,"1,88931",https://www.drupal.org/node/1022338,Started as an initiative for Drupal 8 to modernize markup.
Layout,strategic,done,2017-01,"241634,277051",https://www.drupal.org/about/strategic-initiatives/layout,Rooted in the SCOTCH initiative gained traction with Layout Builder.
Migrate,strategic,done,2013-01,"1852732,4420,9446",https://www.drupal.org/about/strategic-initiatives/migrate,Started at DrupalCon Prague 2013. For D8 formalized when migrating from D6/D7 became critical.
Mobile,strategic,done,2011-01,32095,https://www.drupal.org/node/1941432,One of the core initiatives of Drupal 8: “mobile-first.”
Multilingual,strategic,done,2011-01,4166,https://www.drupal.org/community-initiatives/previousinactive-initiatives/multilingual-initiative-d8mi,Major Drupal 8 initiative. Unofficially started in 2004.
Olivero,strategic,done,2020-01,"3608576,307398,1823508,751908,118428,1785940",https://www.drupal.org/about/core/strategic-initiatives/olivero,"Initially developed as a contrib theme, adopted as core default for D9.1+."
Out-of-the-box,strategic,done,2016-01,"4166,1468640",https://www.drupal.org/project/drupal/issues/3038538,Resulted in the “Umami demo” content.  Goal was to improve demo experience.
Outside-in,strategic,done,2016-01,1,https://dri.es/tag/outside-in,Announced by Dries to enable editing content/config inline on the frontend.
PHPUnit,strategic,done,2016-01,"99340,262198",https://www.drupal.org/project/ideas/issues/2807237#comment-11762803,Introduced to replace SimpleTest during D8 cycle.
SCOTCH (Layout system),strategic,done,2014-01,61203,https://www.drupal.org/node/2107085#layouts,"SCOTCH = Structured Content, Templates, Configuration, HTML; laid groundwork for Layout Builder."
Spark,strategic,done,2012-01,"99777,748566,4166,627430,325491,1134874",https://www.drupal.org/community-initiatives/previousinactive-initiatives/spark-authoring-experience-in-drupal-8-core,"Acquia-led initiative to improve authoring (led to CKEditor, in-place editing)."
Twig,strategic,done,2012-01,"85586,9446,179805,",https://www.drupal.org/project/drupal/issues/1696786,Introduced during D8 development to modernize templating.
Views in Core,strategic,done,2012-05,"26979,99340,65776,241634,1037976",https://dri.es/views-in-drupal-8,Initiative for D8 to make Views a core module.
Web services,strategic,done,2011-01,"26979,146719,9446,16496",https://groups.drupal.org/node/63708,One of the original D8 initiatives aimed to enable RESTful APIs. Officially launched after DC SF 2010. 
